四季,#genre#
原住民族電視台,http://localhost:8080/daili/4gtv.php?channel=273
半島國際新聞台,http://localhost:8080/daili/4gtv.php?channel=85
VOA美國之音,http://localhost:8080/daili/4gtv.php?channel=866
DW德國之聲,http://localhost:8080/daili/4gtv.php?channel=22
新唐人亞太台,http://localhost:8080/daili/4gtv.php?channel=223
東森財經新聞台,http://localhost:8080/daili/4gtv.php?channel=211
CNBC Asia 財經台,http://localhost:8080/daili/4gtv.php?channel=235
國會頻道1,http://localhost:8080/daili/4gtv.php?channel=170
國會頻道2,http://localhost:8080/daili/4gtv.php?channel=171
豬哥亮歌廳秀,http://localhost:8080/daili/4gtv.php?channel=113
金光布袋戲,http://localhost:8080/daili/4gtv.php?channel=236
民視第一台,http://localhost:8080/daili/4gtv.php?channel=1
民視台灣台,http://localhost:8080/daili/4gtv.php?channel=2
民視,http://localhost:8080/daili/4gtv.php?channel=3
中視,http://localhost:8080/daili/4gtv.php?channel=4
華視,http://localhost:8080/daili/4gtv.php?channel=6
公視戲劇,http://localhost:8080/daili/4gtv.php?channel=7
大愛電視,http://localhost:8080/daili/4gtv.php?channel=209
電影免費看,http://localhost:8080/daili/4gtv.php?channel=272
戲劇免費看,http://localhost:8080/daili/4gtv.php?channel=270
兒童卡通台,http://localhost:8080/daili/4gtv.php?channel=269
精選動漫台,http://localhost:8080/daili/4gtv.php?channel=204
經典電影台,http://localhost:8080/daili/4gtv.php?channel=201
華語戲劇台,http://localhost:8080/daili/4gtv.php?channel=244
華語綜藝台,http://localhost:8080/daili/4gtv.php?channel=245
經典卡通台,http://localhost:8080/daili/4gtv.php?channel=202
Nick Jr. 兒童頻道,http://localhost:8080/daili/4gtv.php?channel=219
fun探索娛樂台,http://localhost:8080/daili/4gtv.php?channel=274
客家電視台,http://localhost:8080/daili/4gtv.php?channel=107
亞洲旅遊台,http://localhost:8080/daili/4gtv.php?channel=250
中天美食旅遊,http://localhost:8080/daili/4gtv.php?channel=251
滾動力rollor,http://localhost:8080/daili/4gtv.php?channel=249
TechStorm,http://localhost:8080/daili/4gtv.php?channel=181
民視綜藝台,http://localhost:8080/daili/4gtv.php?channel=16
民視影劇台,http://localhost:8080/daili/4gtv.php?channel=24
采昌影劇台,http://localhost:8080/daili/4gtv.php?channel=25
Love Nature,http://localhost:8080/daili/4gtv.php?channel=139
靖天綜合台,http://localhost:8080/daili/4gtv.php?channel=21
靖天映畫,http://localhost:8080/daili/4gtv.php?channel=42
靖天育樂台,http://localhost:8080/daili/4gtv.php?channel=83
尼克兒童頻道,http://localhost:8080/daili/4gtv.php?channel=185
影迷數位電影台,http://localhost:8080/daili/4gtv.php?channel=40
智林體育台,http://localhost:8080/daili/4gtv.php?channel=58
靖天日本台,http://localhost:8080/daili/4gtv.php?channel=22
靖天電影台,http://localhost:8080/daili/4gtv.php?channel=82
中視菁采台,http://localhost:8080/daili/4gtv.php?channel=123
三立綜合台,http://localhost:8080/daili/4gtv.php?channel=169
History 歷史頻道,http://localhost:8080/daili/4gtv.php?channel=214
Lifetime 娛樂頻道,http://localhost:8080/daili/4gtv.php?channel=217
博斯網球台,http://localhost:8080/daili/4gtv.php?channel=52
博斯高球台,http://localhost:8080/daili/4gtv.php?channel=48
ROCK Action,http://localhost:8080/daili/4gtv.php?channel=180
GINX Esports TV,http://localhost:8080/daili/4gtv.php?channel=179
博斯運動一台,http://localhost:8080/daili/4gtv.php?channel=50
博斯無限台,http://localhost:8080/daili/4gtv.php?channel=51
TRACE Sport Stars,http://localhost:8080/daili/4gtv.php?channel=57
時尚運動X,http://localhost:8080/daili/4gtv.php?channel=69
車迷TV,http://localhost:8080/daili/4gtv.php?channel=160
MOMO親子台,http://localhost:8080/daili/4gtv.php?channel=231
達文西頻道,http://localhost:8080/daili/4gtv.php?channel=11
靖天卡通台,http://localhost:8080/daili/4gtv.php?channel=15
靖洋卡通Nice Bingo,http://localhost:8080/daili/4gtv.php?channel=59
i-Fun動漫台,http://localhost:8080/daili/4gtv.php?channel=60
ELTV生活英語台,http://localhost:8080/daili/4gtv.php?channel=106
龍華電影台,http://localhost:8080/daili/4gtv.php?channel=121
CATCHPLAY電影台,http://localhost:8080/daili/4gtv.php?channel=177
CATCHPLAY Beyond,http://localhost:8080/daili/4gtv.php?channel=200
My Cinema Europe HD 我的歐洲電影,http://localhost:8080/daili/4gtv.php?channel=176
龍華戲劇台,http://localhost:8080/daili/4gtv.php?channel=23
龍華日韓台,http://localhost:8080/daili/4gtv.php?channel=28
八大精彩台,http://localhost:8080/daili/4gtv.php?channel=172
靖天戲劇台,http://localhost:8080/daili/4gtv.php?channel=116
靖洋戲劇台,http://localhost:8080/daili/4gtv.php?channel=118
CinemaWorld,http://localhost:8080/daili/4gtv.php?channel=225
amc最愛電影,http://localhost:8080/daili/4gtv.php?channel=39
影迷數位紀實台,http://localhost:8080/daili/4gtv.php?channel=212
視納華仁紀實頻道,http://localhost:8080/daili/4gtv.php?channel=38
TV5MONDE STYLE HD 生活時尚,http://localhost:8080/daili/4gtv.php?channel=178
LUXE TV Channel,http://localhost:8080/daili/4gtv.php?channel=175
民視旅遊台,http://localhost:8080/daili/4gtv.php?channel=61
幸福空間居家台,http://localhost:8080/daili/4gtv.php?channel=168
Global Trekker,http://localhost:8080/daili/4gtv.php?channel=252
ARIRANG阿里郎頻道,http://localhost:8080/daili/4gtv.php?channel=189
愛爾達生活旅遊台,http://localhost:8080/daili/4gtv.php?channel=237

北京,#genre#
北京卫视,http://localhost:8080/daili/bj.php?id=bjws
冬奥纪实,http://localhost:8080/daili/bj.php?id=dajs
北京文艺,http://localhost:8080/daili/bj.php?id=bjwy
北京科教,http://localhost:8080/daili/bj.php?id=bjkj
北京影视,http://localhost:8080/daili/bj.php?id=bjys
北京财经,http://localhost:8080/daili/bj.php?id=bjcj
北京生活,http://localhost:8080/daili/bj.php?id=bjsh
北京青年,http://localhost:8080/daili/bj.php?id=bjqn
北京新闻,http://localhost:8080/daili/bj.php?id=bjxw
北京卡酷,http://localhost:8080/daili/bj.php?id=kaku
湖北,#genre#
湖北卫视,http://localhost:8080/daili/hb.php?id=hbws
湖北经视,http://localhost:8080/daili/hb.php?id=hbjs
湖北综合,http://localhost:8080/daili/hb.php?id=hbzh
湖北公共,http://localhost:8080/daili/hb.php?id=hbgg
湖北影视,http://localhost:8080/daili/hb.php?id=hbys
湖北生活,http://localhost:8080/daili/hb.php?id=hbsh
湖北教育,http://localhost:8080/daili/hb.php?id=hbjy
湖北垄上,http://localhost:8080/daili/hb.php?id=hbls
石狮,#genre#
石狮,http://localhost:8080/daili/ss.php?id=sstv
泉州综合,http://localhost:8080/daili/qz.php?id=qzxwzh
泉州闽南语,http://localhost:8080/daili/qz.php?id=qzmny
合肥,#genre#
合肥新闻,http://localhost:8080/daili/hf.php?id=hfzh
合肥生活,http://localhost:8080/daili/hf.php?id=hfsh
合肥财经,http://localhost:8080/daili/hf.php?id=hfcj
合肥教育,http://localhost:8080/daili/hf.php?id=hfjy
合肥休闲,http://localhost:8080/daili/hf.php?id=hfxx
合肥公共,http://localhost:8080/daili/hf.php?id=hfgg
安徽,#genre#
安徽卫视,http://localhost:8080/daili/ah.php?id=ahws
安徽影视,http://localhost:8080/daili/ah.php?id=ahys
经济生活,http://localhost:8080/daili/ah.php?id=jjsh
综艺体育,http://localhost:8080/daili/ah.php?id=zyty
农业科教,http://localhost:8080/daili/ah.php?id=nykj
安徽公共,http://localhost:8080/daili/ah.php?id=ahgg
安徽国际,http://localhost:8080/daili/ah.php?id=ahgj
宁夏,#genre#
宁夏卫视,http://localhost:8080/daili/nx.php?id=nxws
宁夏公共,http://localhost:8080/daili/nx.php?id=nxgg
宁夏经济,http://localhost:8080/daili/nx.php?id=nxjj
宁夏影视,http://localhost:8080/daili/nx.php?id=nxys
宁夏少儿,http://localhost:8080/daili/nx.php?id=nxse
郑州,#genre#
郑州新闻,http://localhost:8080/daili/zz.php?id=zzxw
郑州商都,http://localhost:8080/daili/zz.php?id=zzsd
文体旅游,http://localhost:8080/daili/zz.php?id=zzwt
影视戏曲,http://localhost:8080/daili/zz.php?id=zzys
妇女儿童,http://localhost:8080/daili/zz.php?id=zzfn
郑州都市,http://localhost:8080/daili/zz.php?id=zzds
贵州,#genre#
贵州卫视,http://localhost:8080/daili/gz.php?id=gzws
贵州公共,http://localhost:8080/daili/gz.php?id=gzgg
贵州文艺,http://localhost:8080/daili/gz.php?id=gzwy
大众生活,http://localhost:8080/daili/gz.php?id=dzsh
贵州法治,http://localhost:8080/daili/gz.php?id=gzfz
科教健康,http://localhost:8080/daili/gz.php?id=kjjk
贵州经济,http://localhost:8080/daili/gz.php?id=gzjj
家有购物,http://localhost:8080/daili/gz.php?id=jygw
移动电视,http://localhost:8080/daili/gz.php?id=ydds
贵阳综合,http://localhost:8080/daili/gy.php?id=gyxwzh
贵阳经济,http://localhost:8080/daili/gy.php?id=gyjjsh
贵阳都市,http://localhost:8080/daili/gy.php?id=gyds
江苏,#genre#
江苏卫视,http://localhost:8080/daili/js.php?id=jsws
江苏城市,http://localhost:8080/daili/js.php?id=jscs
江苏公共,http://localhost:8080/daili/js.php?id=jsgg
江苏综艺,http://localhost:8080/daili/js.php?id=jszy
江苏影视,http://localhost:8080/daili/js.php?id=jsys
江苏体育,http://localhost:8080/daili/js.php?id=jsty
江苏教育,http://localhost:8080/daili/js.php?id=jsjy
江苏靓妆,http://localhost:8080/daili/js.php?id=jslz
江苏国际,http://localhost:8080/daili/js.php?id=jsgj
好享购物,http://localhost:8080/daili/js.php?id=hxgw
优漫卡通,http://localhost:8080/daili/js.php?id=ymkt
内蒙古,#genre#
内蒙古卫视,http://localhost:8080/daili/nmg.php?id=nmgws
新闻综合,http://localhost:8080/daili/nmg.php?id=xwzh
蒙语卫视,http://localhost:8080/daili/nmg.php?id=myws
蒙语文化,http://localhost:8080/daili/nmg.php?id=mywh
内蒙古少儿,http://localhost:8080/daili/nmg.php?id=nmgse
文体娱乐,http://localhost:8080/daili/nmg.php?id=wtyl
内蒙古农牧,http://localhost:8080/daili/nmg.php?id=nm
经济生活,http://localhost:8080/daili/nmg.php?id=jjsh
三佳购物,http://localhost:8080/daili/nmg.php?id=sjgw
